,Country,HDI.Rank,Human.Development.Index..HDI.,Life.Expectancy.at.Birth,Expected.Years.of.Education,Mean.Years.of.Education,Gross.National.Income..GNI..per.Capita,GNI.per.Capita.Rank.Minus.HDI.Rank,GDI.Rank,Gender.Development.Index..GDI.,Human.Development.Index..Female.,Human.Development.Index..Male.,Life.Expectancy.at.Birth..Female.,Life.Expectancy.at.Birth..Male.,Expected.Years.of.Education..Female.,Expected.Years.of.Education..Male.,Mean.Years.of.Education..Female.,Mean.Years.of.Education..Male.,Estimated.Gross.National.Income.per.Capita..Female.,Estimated.Gross.National.Income.per.Capita..Male.
94,Kuwait,48,0.816,74.4,14.7,7.2,"83,961",-46,48,0.972,0.793,0.816,75.8,73.5,15.2,14.2,7.3,7.1,42292,111988
95,Kyrgyzstan,120,0.655,70.6,12.5,10.6,"3,044",29,120,0.961,0.638,0.664,74.6,66.6,12.7,12.3,10.5,10.6,2122,3992
96,Lao People's Democratic Republic,141,0.575,66.2,10.6,5,"4,680",-6,141,0.896,0.543,0.606,67.5,64.8,10.1,11,3.9,6.1,4086,5279
97,Latin America and the Caribbean,NA,0.748,75,14,8.2,"14,242",NA,NA,0.976,0.736,0.754,78.2,71.7,14.4,13.7,8,8.1,10194,18435
98,Latvia,46,0.819,74.2,15.2,11.5,"22,281",4,46,1.029,0.829,0.805,78.9,69.1,15.9,14.6,11.7,11.2,18437,26845
99,Lebanon,67,0.769,79.3,13.8,7.9,"16,509",-1,67,0.899,0.718,0.8,81.3,77.6,13.6,13.9,7.6,8.2,7334,25391
100,Lesotho,161,0.497,49.8,11.1,5.9,"3,306",-16,161,0.953,0.482,0.505,49.8,49.6,11.7,10.6,6.5,5.2,2613,4017
101,Liberia,177,0.43,60.9,9.5,4.1,805,7,177,0.789,0.387,0.491,61.8,59.9,8.9,12.4,2.6,5.8,678,930
102,Libya,94,0.724,71.6,14,7.3,"14,911",-19,94,0.95,0.699,0.736,74.6,68.9,14.3,13.8,7.7,7,7427,22392
103,Liechtenstein,13,0.908,80,15,11.8,"79,851",-10,13,..,..,..,..,..,13.8,16.1,..,..,..,..
104,Lithuania,37,0.839,73.3,16.4,12.4,"24,500",7,37,1.03,0.851,0.827,78.9,67.7,16.9,15.9,12.3,12.5,20955,28656
105,Luxembourg,19,0.892,81.7,13.9,11.7,"58,711",-11,19,0.971,0.877,0.903,83.9,79.3,14,13.7,11.3,12.1,47723,69800
106,Madagascar,154,0.51,65.1,10.3,6,"1,328",24,154,0.945,0.497,0.526,66.6,63.6,10.2,10.5,6.6,6.1,1098,1560
107,Malawi,173,0.445,62.8,10.8,4.3,747,13,173,0.907,0.423,0.467,63.7,61.7,10.8,10.7,3.4,5.2,679,815
108,Malaysia,62,0.779,74.7,12.7,10,"22,762",-14,62,0.947,0.753,0.795,77.1,72.4,12.7,12.7,9.4,10.1,15635,30320
109,Maldives,104,0.706,76.8,13,5.8,"12,328",-19,104,0.937,0.678,0.723,77.8,75.8,12.8,12.5,5.7,6,8531,16073
110,Mali,179,0.419,58,8.4,2,"1,583",-8,179,0.776,0.363,0.468,57.8,58.2,7.5,9.3,1.5,2.7,961,2195
111,Malta,37,0.839,80.6,14.4,10.3,"27,930",-1,37,0.937,0.806,0.861,82.2,78.8,14.8,14,9.9,10.8,16435,39432
112,Mauritania,156,0.506,63.1,8.5,3.8,"3,560",-14,156,0.816,0.446,0.546,64.5,61.6,8.5,8.5,2.7,4.8,1625,5468
113,Mauritius,63,0.777,74.4,15.6,8.5,"17,470",0,63,0.95,0.752,0.792,78,70.9,15.9,15.2,8,9.1,10541,24581
114,Mexico,74,0.756,76.8,13.1,8.5,"16,056",-4,74,0.943,0.731,0.775,79.2,74.4,13.2,12.9,8.2,8.8,10233,22252
115,Micronesia (Federated States of),123,0.64,69.1,11.7,9.7,"3,432",21,123,..,..,..,70.1,68.1,..,..,..,..,..,..
116,Moldova (Republic of),107,0.693,71.6,11.9,11.2,"5,223",23,107,1.003,0.694,0.692,75.7,67.4,12.2,11.6,11.1,11.3,4599,5915
117,Mongolia,90,0.727,69.4,14.6,9.3,"10,729",4,90,1.028,0.737,0.716,73.9,65.3,15.3,13.9,9.5,9,9029,12462
118,Montenegro,49,0.802,76.2,15.2,11.2,"14,558",27,49,0.954,0.782,0.819,78.4,74.1,15.5,14.8,10.5,11.8,11106,18094
119,Morocco,126,0.628,74,11.6,4.4,"6,850",-8,126,0.828,0.555,0.67,75.1,73,10.6,11.6,3.2,5.3,3222,10573
120,Mozambique,180,0.416,55.1,9.3,3.2,"1,123",1,180,0.881,0.39,0.443,56.5,53.6,8.8,9.8,2.4,4.3,1040,1210
121,Myanmar,148,0.536,65.9,8.6,4.1,"4,608",-12,148,..,..,..,68,63.9,..,..,4.3,3.8,3873,5386
122,Namibia,126,0.628,64.8,11.3,6.2,"9,418",-21,126,0.981,0.62,0.632,67.3,62.1,11.4,11.3,6.3,6.1,7672,11267
123,Nepal,145,0.548,69.6,12.4,3.3,"2,311",16,145,0.908,0.521,0.574,71.1,68.2,12.5,12.2,2.3,4.5,1956,2690
124,Netherlands,5,0.922,81.6,17.9,11.9,"45,435",9,5,0.947,0.893,0.943,83.3,79.7,18,17.9,11.6,12.2,29500,61641
125,New Zealand,9,0.913,81.8,19.2,12.5,"32,689",23,9,0.961,0.894,0.93,83.6,80,20,18.3,12.5,12.6,24309,41372
126,Nicaragua,125,0.631,74.9,11.5,6,"4,457",12,125,0.96,0.615,0.64,77.9,71.9,11.8,11.3,6.2,5.8,2967,5979
127,Niger,188,0.348,61.4,5.4,1.5,908,-5,188,0.729,0.287,0.394,62.4,60.6,4.8,6.1,0.8,2,491,1319
128,Nigeria,152,0.514,52.8,9,5.9,"5,341",-24,152,0.841,0.468,0.556,53.1,52.4,8.2,9.8,4.9,7.1,4052,6585
129,Norway,1,0.944,81.6,17.5,12.6,"64,992",5,1,0.996,0.94,0.944,83.6,79.5,18.2,16.8,12.7,12.5,57140,72825
130,Oman,52,0.793,76.8,13.6,8,"34,858",-23,52,0.909,0.741,0.815,79.2,75.1,13.9,13.5,7,8.5,14709,46400
131,Pakistan,147,0.538,66.2,7.8,4.7,"4,866",-14,147,0.726,0.436,0.601,67.2,65.3,7,8.5,3.1,6.2,1450,8100
132,Palau,60,0.78,72.7,13.7,12.3,"13,496",18,60,..,..,..,..,..,13.9,13.5,..,..,..,..
