,Country,HDI.Rank,Human.Development.Index..HDI.,Life.Expectancy.at.Birth,Expected.Years.of.Education,Mean.Years.of.Education,Gross.National.Income..GNI..per.Capita,GNI.per.Capita.Rank.Minus.HDI.Rank,GDI.Rank,Gender.Development.Index..GDI.,Human.Development.Index..Female.,Human.Development.Index..Male.,Life.Expectancy.at.Birth..Female.,Life.Expectancy.at.Birth..Male.,Expected.Years.of.Education..Female.,Expected.Years.of.Education..Male.,Mean.Years.of.Education..Female.,Mean.Years.of.Education..Male.,Estimated.Gross.National.Income.per.Capita..Female.,Estimated.Gross.National.Income.per.Capita..Male.
171,Tajikistan,129,0.624,69.4,11.2,10.4,"2,517",27,129,0.926,0.6,0.648,73.2,66.2,10.5,12,9.6,11.2,2014,3017
172,Tanzania (United Republic of),151,0.521,65,9.2,5.1,"2,411",8,151,0.938,0.504,0.538,66.4,63.5,9,9.3,4.5,5.8,2320,2502
173,Thailand,93,0.726,74.4,13.5,7.3,"13,323",-13,93,1,0.726,0.726,77.9,71.1,13.9,13.1,7.1,7.5,11820,14888
174,The former Yugoslav Republic of Macedonia,81,0.747,75.4,13.4,9.3,"11,780",9,81,0.949,0.726,0.765,77.7,73.1,13.5,13.2,8.7,9.8,8796,14754
175,Timor-Leste,133,0.595,68.2,11.7,4.4,"5,363",-6,133,0.868,0.548,0.631,70.1,66.5,11.3,12,3.6,5.3,3122,7530
176,Togo,162,0.484,59.7,12.2,4.5,"1,228",17,162,0.831,0.439,0.527,60.4,58.9,10.9,13.4,3,6.3,1084,1376
177,Tonga,100,0.717,72.8,14.7,10.7,"5,069",32,100,0.967,0.704,0.727,75.8,69.9,15,14.4,10.7,10.8,3796,6336
178,Trinidad and Tobago,64,0.772,70.4,12.3,10.9,"26,090",-25,64,0.985,0.763,0.774,74,67,12.5,12.1,10.7,10.9,19669,32656
179,Tunisia,96,0.721,74.8,14.6,6.8,"10,404",1,96,0.894,0.671,0.751,77.3,72.5,15,14,5.9,7.8,4748,16159
180,Turkey,72,0.761,75.3,14.5,7.6,"18,677",-12,72,0.902,0.716,0.793,78.5,72,14,15.1,6.7,8.5,10024,27645
181,Turkmenistan,109,0.688,65.6,10.8,9.9,"13,066",-28,109,..,..,..,69.9,61.5,10.6,11,..,..,8725,17552
182,Uganda,163,0.483,58.5,9.8,5.4,"1,613",6,163,0.886,0.452,0.51,60.3,56.7,9.7,9.9,4.5,6.3,1226,1997
183,Ukraine,81,0.747,71,15.1,11.3,"8,178",25,81,1.003,0.747,0.745,75.9,66,15.4,14.9,11.3,11.4,6518,10120
184,United Arab Emirates,41,0.835,77,13.3,9.5,"60,868",-34,41,0.954,0.796,0.835,78.5,76.3,13.9,12.9,9.9,8.5,22391,77300
185,United Kingdom,14,0.907,80.7,16.2,13.1,"39,267",9,14,0.965,0.888,0.92,82.6,78.7,16.6,15.8,12.9,13.2,27259,51628
186,United States,8,0.915,79.1,16.5,12.9,"52,947",3,8,0.995,0.911,0.916,81.4,76.7,17.2,15.7,13,12.9,43054,63158
187,Uruguay,52,0.793,77.2,15.5,8.5,"19,283",7,52,1.018,0.797,0.783,80.6,73.5,16.6,14.4,8.7,8.2,14721,24166
188,Uzbekistan,114,0.675,68.4,11.5,10.9,"5,567",10,114,0.945,0.64,0.678,71.8,65,11.3,11.7,9.5,9.9,3811,7342
189,Vanuatu,134,0.594,71.9,10.6,6.8,"2,803",19,134,0.903,0.587,0.65,74,69.9,10.2,10.9,8,10,2141,3445
190,Venezuela (Bolivarian Republic of),71,0.762,74.2,14.2,8.9,"16,159",-2,71,1.03,0.772,0.749,78.5,70.2,15.3,13.1,9.2,8.6,12458,19840
191,Viet Nam,116,0.666,75.8,11.9,7.5,"5,092",15,116,..,..,..,80.5,71,..,..,7,7.9,4624,5570
192,World,NA,0.711,71.5,12.2,7.9,"14,301",NA,NA,0.924,0.67,0.725,73.7,69.5,12.2,12.4,6.2,7.9,10296,18373
193,Yemen,160,0.498,63.8,9.2,2.6,"3,519",-17,160,0.739,0.414,0.56,65.2,62.5,7.7,10.6,1.3,3.8,1595,5412
194,Zambia,139,0.586,60.1,13.5,6.6,"3,734",2,139,0.917,0.558,0.609,62,58.2,13,13.9,5.8,7.3,3019,4452
195,Zimbabwe,155,0.509,57.5,10.9,7.3,"1,615",13,155,0.922,0.487,0.529,58.9,56.2,10.7,11,6.7,7.7,1387,1850
